adduser	3.118
libzstd1	1.3.8+dfsg-3+rpi1+deb10u2
locales	2.28-10+rpt2+rpi1+deb10u1
login	1:4.5-1.1
lsb-base	10.2019051400+rpi1
lsb-release	10.2019051400+rpi1
make	4.2.1-1.2
man-db	2.8.5-2
manpages	4.16-2
mawk	1.3.3-17
mosquitto-clients	1.5.7-1+deb10u1
mosquitto	1.5.7-1+deb10u1
mount	2.33.1-0.1
ncurses-base	6.1+20181013-2+deb10u2
ncurses-bin	6.1+20181013-2+deb10u2
netfilter-persistent	1.0.11+deb10u1
openssh-server	1:7.9p1-10+deb10u2+rpt1
passwd	1:4.5-1.1
perl-base	5.28.1-6+deb10u1
pinentry-curses	1.1.0-2
python3-requests	2.21.0-1
python3-setuptools	40.8.0-1
python3-venv	3.7.3-1
python3.7-dev	3.7.3-2+deb10u3
raspberrypi-bootloader	1:1.20220308~buster-1
raspberrypi-kernel	1:1.20220308~buster-1
raspberrypi-sys-mods	20211005
raspbian-archive-keyring	20120528.2
readline-common	7.0-5
robotfindskitten	2.7182818.701-1
rsyslog	8.1901.0-1+deb10u2
sed	4.7-1
sudo	1.8.27-1+deb10u3
systemd	241-7~deb10u8+rpi1
sysvinit-utils	2.93-8
tar	1.30+dfsg-6
tedge	0.7.2
tedge_agent	0.7.2
tedge_apama_plugin	0.7.2
tedge_apt_plugin	0.7.2
tedge_mapper	0.7.2
tedge_watchdog	0.7.2
tnat64	0.05-1
tzdata	2021a-0+deb10u5
udev	241-7~deb10u8+rpi1
unattended-upgrades	1.11.2
util-linux	2.33.1-0.1
vim-nox	2:8.1.0875-5+deb10u2
wget	1.20.1-1.1
zlib1g	1:1.2.11.dfsg-1+deb10u1
